قد	لقد
طعام	طعامهم
ارجاس	فارجاس
قليل	لقليل
جيد	جيداي
وضح	يُوضّحُ
تنفيذ	وتنفيذ
استقالة	استقالتي
شعر	بشعرك
فل	فِل
حمل	وتحمل
بلوز	بلوزة
مصغر	مصغرة
مسابقة	المسابقات
إيجاد	إيجادي
أكل	كلوني
أثار	الأثار
تذوق	تتذوق
ثاقب	ثاقبة
تدريب	تدريباً
فرقة	للفرقة
مضجع	بمضاجعة
عادى	وعادت
يومي	يومية
نزهة	بنزهة
أكان	اكان
تغوط	التغوّط
منعزل	منعزلة
تقديم	وتقديم
كوفنانت	الكوفنانت
أم	والأم
اشترى	تشتريه
أمل	أمله
حنين	الحنين
الذي	اللتان
منتج	منتجة
اسواء	الاسواء
إعطاء	إعطاءك
براندي	البراندي
مربع	مربعات
خالد	الخالد
جبري	الجبرية
معماري	المعمارية
أمر	أمرتني
مأساوي	المأساوية
حلاق	الحلاق
بيس	بيسي
لحظة	لحظةً
حسن	حسناْ
عقاب	عقابك
مباراة	بالمباراة
معرفة	معرفتهم
مخالفة	المخالفات
انتظار	للانتظار
جراحة	بالجراحة
فيدجي	فيجي
أعط	أعطِه
قبر	قبور
ممرضه	الممرضه
بلاغ	البلاغ
بقيه	البقيه
جدي	وجدي
حائط	بالحائط
لعب	يلعبوا
منع	منعهم
أنجح	سأنجح
إرتياح	الإرتياح
سرعة	سرعتي
فائز	والفائز
أصاب	أصابتني
نظر	وتنظر
اسم	باسمها
فهم	يفهمه
عود	عيدان
وجود	بوجودنا
حق	يحقّ
مختبئ	مختبئاً
نتيجه	النتيجه
إن	إنَه
اسفل	لاسفل
رحب	يرحب
كتب	سيكتب
مستقل	المستقلة
محتال	محتالة
صرخ	سأصرخ
جعل	جعلتِ
مبحث	بالمباحث
حارب	يحاربون
أخبر	لأخبره
فرض	تفرض
أندري	اندري
إلى	إلية
إسكان	الإسكان
رائح	رائحتهم
وف	بوف
إطمئنان	للإطمئنان
مارس	تمارسي
ثقة	ثقتها
مطار	بالمطار
عبث	عبثاً
ضابط	ضابطاً
ترك	أتركوا
طريف	الطريف
هم	يهُم
مستوى	مستواي
بدين	البدينة
مالي	مالياً
الاثنتان	الاثنتين
أقنعة	أقنعته
طاقم	طاقمه
تشويق	التشويق
مريب	مريباً
مميز	مميّزة
معطف	معطفاً
تفتيش	بالتفتيش
أمامى	الأمامى
مستشفى	مستشفيات
اكتمل	اكتملت
اننى	اٍننى
متنقل	المتنقل
مظروف	المظروف
مخالفة	المخالفة
عطر	العطور
بور	بوركت
عنقاء	العنقاء
مدعو	مدعوون
أثقال	الأثقال
طاغي	طاغية
حياة	لحياتنا
سنة	سنـوات
لازانيا	اللازانيا
قبعة	قبعته
مزيد	مزيدًا
وظيفة	بالوظيفة
فتيل	الفتيل
متجه	متجهاً
أغنية	بأغنية
شرط	للشرطه
وجه	بوجهه
مثل	مثلَ
اريد	اريدهم
نسب	النسب
عفريت	العفاريت
تعليق	بتعليق
تكتيكي	التكتيكية
خذل	خذلت
مشوه	مشوهة
استعمال	استعمالها
خسر	خسرتها
قت	لقت
قسيم	قسيمة
صنع	صنعتُ
مؤهل	مؤهلاً
أسمع	يسمعنا
مهتم	مهتمّة
ذهب	ويذهبون
سحلي	السحلية
تحول	تتحوّل
سمع	يسمعها
جد	الجدّ
زوج	وزوجك
أقحم	أقحمت
براد	البراد
تأكيد	فبالتأكيد
شهادة	بالشهادة
قام	قُمتِ
ذاتي	ذاتياً
توجه	سنتوجه
أعد	اعدها
صح	صحّ
أصبح	واصبحت
متقدم	المتقدم
حمى	يحمون
محيط	للمحيط
كحولي	الكحولية
أسود	أسوداً
اعلى	لاعلى
أتى	أتتني
ظهر	ظهركِ
فرحة	الفرحة
أدخل	أدخلني
مع	ومعهم
أناناس	الأناناس
اتبع	اتبعت
بوم	بومة
مات	فسيموت
مكتبة	للمكتبة
عملية	للعمليات
تحدث	يتحدّثون
كون	بكون
جلالة	جلالتها
حارس	حارسي
ولادة	ولادتها
متفهم	متفهمة
خداع	خداعنا
ذراع	الذراعين
لباس	لباسك
مزية	المزايا
بي	البي
قدر	تقدّر
أكلة	أكلتها
مشكلة	مشكلتكم
إتخاذ	لإتخاذ
استمتع	واستمتع
أمني	الامنية
تأجيل	التأجيل
عمالة	العمالة
مايسترو	المايسترو
جذر	الجذر
مؤخر	مُؤخراً
امتلك	تمتلكه
اجعلي	اجعليها
شعور	والشعور
دهن	الدهن
ذكرى	لذكرى
اتخذ	اتخذنا
آسيوي	الآسيوية
أسعد	يسعد
استنتج	استنتجت
فج	فجاة
عرف	تعرِف
رطل	أرطال
مصمم	المصمم
أطرح	اطرح
ميز	يميز
مشدود	مشدودة
بك	بيه
تمزيق	بتمزيق
أحضر	وسأحضر
ايتي	وايتي
صداقة	صداقتك
مجهر	المجهر
جزئية	الجزئية
زاد	ستزيد
تزوج	تزوّجت
أنزل	أنزلها
وصل	نوصل
صديق	بصديقك
ليلة	ليالٍ
فتح	يَفْتحُ
سكت	تسكت
التقى	ألتقينا
غضب	غضبا
اعتقد	يُعتقد
ذراع	ذراعيّ
رأى	رأتها
اعاد	اعاده
تزوج	تزوجتها
وضع	يضعني
جدول	الجداول
توافق	التوافق
عاني	العانة
نظم	ينظم
شك	نشك
مشاركة	مشاركتها
ضخامة	الضخامة
معد	معدتها
حول	نحول
بوظ	بوظة
التقط	التقطه
اختار	اخترتها
سلم	سلمون
صحة	صحتكم
اهتم	تهتموا
خادم	الخادمات
صديق	أصدقاءَ
ارتكب	يرتكبون
معلوم	لمعلومات
شيباني	الشيباني
خرسان	الخرسانة
غاضب	غاضبٌ
قريب	قريبان
قتل	قتلناه
صلة	بصلة
ضرب	يَضْربُ
حمى	تحميها
نتيجة	بنتائج
مروج	المروج
أبوان	أبويّ
أفاد	سيفيد
إعطاء	لإعطائك
ترشيح	الترشيح
إصلاحي	إصلاحية
تحول	يتحوّل
خرج	تخرجنا
استخدم	تُستخدم
مشرف	مشارف
أرق	الأرق
تصاعد	يتصاعد
بودرة	البودرة
سكر	السكّر
شفة	شفتاي
إسبوع	الإسبوعِ
سنة	للسنوات
نسيان	لنسيان
قطني	القطنية
سافر	سنسافر
تحضير	لتحضير
إجتماع	للإجتماع
مخلب	المخالب
توقف	أتوقّف
تاق	يتوق
ركز	تركزي
كريم	الكرام
أوتو	اوتو
أنقذ	وأنقذ
هدأ	تهدئي
قرح	قرحة
جوق	جوقة
دم	الدمِّ
رأى	رأيتهما
تقاسم	نتقاسم
سدد	سددت
حفظ	بحفظ
خلفيه	الخلفيه
مكان	بمكاني
أن	أنَّها
أدرك	يدركوا
عيار	العيار
وثاق	وثاقي
وحدة	للوحدة
مهارة	بمهارة
سمى	تُسمى
تدخل	التدخّل
عربة	عربتك
أتى	سأتى
زنزانة	زنزانتك
بطيء	بطيئاً
جنوني	الجنوني
خاص	خاصتكِ
نهار	نهارك
قيمة	قيّمة
انطوى	تنطوي
هدأ	ليهدأ
حاجة	الحاجات
تنسيق	التنسيق
أشبه	يُشبه
تعلم	يتعلموا
قوة	بالقوّة
آذى	تؤذى
رامي	الرماة
محط	محطه
تعرق	التعرق
ظهر	ليظهر
تفهم	تتفهمين
من	منـك
احتسب	تحتسب
يؤلم	سيؤلم
ترابط	الترابط
مهلة	المهلة
قبر	قبري
انجليزيه	الانجليزيه
باقي	باقٍ
أظهر	سأظهر
ساعد	لتساعد
حجز	للحجز
مقابل	المقابله
لكن	ولكنّكِ
تدمير	للتدمير
سعادة	سعادته
درجة	بالدرجة
اجلس	اجلسا
عجوز	عجوزة
تفهم	تتفهمي
فشل	نفشل
طاولة	طاولتك
أمر	أمران
صانع	صانعي
سكتة	السكتة
معرفة	معارفي
نزل	نُزل
من	مِنك
فرصة	فُرصة
فعلي	فعليًا
استمناء	الاستمناء
مؤلم	مؤلما
ورم	أورام
أبقى	يبقينا
شر	للشر
حب	بحبي
قصير	قصار
أغلق	تُغلق
جريمة	جريمته
اشترى	تشترين
طرد	بطرده
خزانة	خزانته
ثاني	بالثانية
اسم	أسمائنا
مات	فستموت
استمع	تستمعوا
اكتشف	لتكتشف
سينمائي	السينمائي
لون	بالألوان
خالي	الخالي
اختار	سيختار
أتى	فلتأتي
أخسر	أخسره
قائد	لقائد
كافيار	الكافيار
نوى	نويت
مطلب	المطالب
غيمة	غيوم
عنا	يعنون
سفينة	سفينته
مستقبل	مستقبلا
غطى	نغطي
طالب	طالبا
شفى	شفاهك
تفجير	التفجيرات
أصبح	أُصبحَ
منزوع	منزوعة
إفتح	إفتحْ
إحضار	لإحضارها
مبهج	مبهجة
أغلق	أغلقها
مبحث	مباحث
علم	وعلم
صغير	للصغار
سوفيتي	السوفيتية
سدد	تسدد
تحدث	تحدّثي
ألقى	ستلقي
محمول	محمولة
علم	يعلمُ
إخراج	إخراجنا
اصطدم	يصطدم
عاري	عاريات
عصفور	العصافير
بارى	يبارك
متجر	متجرك
خطأ	أخطائك
صنع	وصنع
ثابت	ثابتا
مشاركة	بمشاركة
نفس	بنفسكَ
معلومة	معلوماتٍ
خسارة	خسارتها
لحم	لحماً
أكمل	باكمله
أمل	آمالك
جهل	نجهل
فعل	بأفعال
ميلاد	الميلادِ
متسابق	المتسابق
تحذير	تحذيري
أجبر	يجبرني
أن	بِأَنِّي
شريك	شريكين
انصرف	انصرفوا
جنازة	الجنازات
خبر	بالخبر
تلقي	تُلقي
شاهد	وشاهدت
حتف	حتفك
لزج	لزجة
محظوظ	المحظوظين
خطا	يخطو
عمل	عَمِلنا
تخرج	تخرجها
ناقش	لنناقش
اجابه	الاجابه
مشترك	مشتركاً
طلب	نطلبه
مجدي	مجدية
إنتقل	إنتقلنا
قرر	قررتي
ثعلب	الثعالب
اتسع	تتسع
ضرب	ضربوا
وكالة	بوكالة
عزف	يعزفون
اندلع	اندلعت
مقيم	المقيم
لكن	لكنّا
فتح	يُفتح
أصدق	سأصدق
نسبة	بالنسبـة
انفصل	انفصلا
مخلص	المخلصة
أعاد	أعيديه
فيول	فيولا
ملهم	ملهمة
خائن	خائناً
تحري	التحريات
مرحبا	ومرحباً
خداع	خداعه
رأى	يرونا
اجاب	اجابات
تين	تيني
خسر	يخسرون
أهمي	أهميه
هبة	الهبة
حامل	حاملي
فتات	الفتات
سبعيني	السبعينيات
زعيم	الزعماء
سرق	وسرقت
شخصي	شخصيّ
غرفة	بغرفتي
وثق	سأثق
تحول	التحوّل
مرآه	المرآه
ذلك	كـذلـك
مستوى	مستواه
إمض	إمضَ
لاحظ	لاحظتم
تصديق	تصديقي
رد	لرد
زوجة	بزوجته
حارس	كحارس
طريق	بطريقك
رجل	رجلها
سعيد	سعيدُ
تدريب	تدريبه
شأنى	بشأنى
هم	هـم
قدم	بقدمي
حتف	حتفها
راعي	الرعاة
سلم	السلّم
ابى	بابى
محق	محقون
أقام	سيقيم
لدود	اللدود
عزف	تعزفين
محتوم	المحتوم
حياة	بحياتكم
شاكر	شاكراً
رئيس	برئيس
صادر	الصادرة
اقترف	تقترف
نفس	وبنفس
أعاد	يعيدها
صامت	صامتين
قلتي	قلتيها
ثلث	الثلث
نحن	نحُن
كتابة	كتابات
غرفة	غرفتين
وضع	ليضع
مقاتل	مقاتلي
طلب	ويطلب
أنقذ	أنقذته
بلد	البلادِ
مسألة	مسالة
سيارة	بالسيارات
نقش	النقش
أنبوب	الانبوب
مهدئ	المهدئات
محامي	محاميها
مفتاح	مفتاحاً
انظر	اُنظر
فيروس	للفيروس
قال	قلناه
تبيع	تبيعين
لايوجد	ولايوجد
أحمق	كأحمق
واقعي	الواقعي
زبد	الزبد
والد	الوالدان
مهذب	مهذباً
لوم	لومي
صغير	الصَغيرةِ
سور	أسوار
راقب	تراقبه
فاقد	فاقداً
ود	توَدُّ
إمرأ	بإمرأة
مرسى	المرسى
أستعيد	استعيد
إن	بإنّه
استقبل	نستقبل
سجن	سجنك
قذر	القذره
لهى	اللهى
أمر	أمورٌ
جعل	يجعلوا
إستحمام	للإستحمام
فديو	الفديو
خان	خانا
محارب	محاربي
رحم	يرحم
نجدة	بالنجدة
مستوصف	المستوصف
مصدر	مصدري
فراول	فراولة
ضحى	يضحي
بناء	بناءا
وضع	وضعناه
نفس	نفسـك
أعلن	أعلنوا
بلان	بلانك
أوستن	اوستن
سكير	السكير
تعرف	تتعرفي
بيت	وبيت
شعر	يَشْعرُ
وضوح	وضوحا
تغطية	بالتغطية
بطولي	البطولية
فيديو	بالفيديو
مراهق	المراهقات
كبر	كبروا
رتبة	الرتبة
محيط	المُحيط
بريء	بريئا
استدعاء	استدعائي
شائك	الشائكة
والد	والدتكم
رؤيه	الرؤيه
حادثه	الحادثه
متحمس	متحمسا
أخ	كأخ
أيسر	يسرى
حجم	حجمك
تصفية	لتصفية
لطخ	لطخة
علاج	العلاجات
ترفيه	للترفيه
خشي	نخشى
مثل	يُمثل
ذباب	الذبابة
أثر	الاثار
كان	كاني
مفعول	مفعولها
أخذ	أَخذتُ
أدلى	تدلي
تظاهر	بالتظاهر
أثبت	ليثبت
أغر	غري
دائم	دائمـا
تخطي	لتخطي
اتسي	باتسي
نظر	نظرًا
وجه	للوجه
مليون	بملايين
حفيد	حفيدة
أصل	اصلاً
هواء	الهواءِ
تختبئ	تختبئين
ولد	اولادي
تغاضي	التغاضي
فاجأ	تفاجئت
تدبر	تدبّر
مقتول	المقتول
صورة	الصورةِ
قتل	لقتلهم
إظهار	بإظهار
اسحب	اسحبه
إفترض	إفترضت
شرعي	شرعيين
صباح	صباحُ
قرأ	قرأنا
شعب	الشعوب
ضجر	بالضجر
جسد	بجسد
مر	المر
أفعل	أفعلُ
تذكر	يتذكرون
مميز	مميزات
حل	حلّها
جعل	تَجْعلُ
صرع	الصرع
سجن	سجون
إن	إنهــا
صمت	أصمتوا
إله	إلهك
حضر	ستحضرين
متوفر	المتوفرة
تفاؤل	التفاؤل
غريب	وغريب
إنجاز	الإنجاز
حصى	الحصى
صعود	صعودا
عظيم	عظيـم
ألب	الألب
رياضة	الرياضات
صواب	صوابها
افتقد	نفتقد
غامض	غامضاً
كبد	كبدي
حضور	بحضورك
زعم	تزعم
أبقى	لنبقي
يارد	ياردات
ازعج	ازعجك
اصطف	اصطفوا
ضحل	الضحلة
أخبر	أخبرَك
ملاحظة	مُلاحظة
قصد	يقصدون
ضيع	تضيعي
خدعة	بخدعة
صارع	تصارع
جوله	الجوله
محرك	محرّك
ملف	ملفها
صلى	الاصلي
أفسد	تفسدين
متفوق	متفوقة
جذب	جذبت
روسى	الروسى
أبرياء	الابرياء
فعل	فعلـت
مفرقع	المفرقعات
نعش	النعش
إن	وانما
كون	كونكَ
ربط	ربطات
حق	حقاُ
أطلع	أطلعك
حقيق	حقيقين
ابنة	لابنتك
تصليح	التصليح
شوط	شوطاً
جراح	الجراحات
سيارة	والسيارة
سافر	يسافرون
معقول	معقولا
حري	حريّ
كفاءة	بكفاءة
قدم	تقدمها
فهم	يفهمها
أوما	أوماها
أخذ	أخذناها
لاحظ	لاحظته
دامي	الدامية
داعر	الداعرة
حق	حقــا
عصب	للأعصاب
رغب	سأرغب
جاداي	الجاداي
وهمي	الوهمي
كوان	بكوب
قتل	قتـل
غنى	الغنى
قياد	قياده
جيش	لجيش
نظم	أنظم
تبيع	تبيعها
تهريب	بتهريب
صدمة	بالصدمة
أتى	تأتيك
متعب	متعبون
ثغرة	الثغرات
انتشار	الانتشار
ارجاء	الارجاء
إنسان	بأناس
قنب	القنب
قد	وقـد
ال	الـــ
خون	خونة
أخطأ	أخطئت
أكر	أكرهكِ
شاهد	سأشاهد
ابن	ابنا
كونج	الكونج
حطم	حطموا
فقد	تفقدنا
اشياء	بالاشياء
فقرة	الفقرات
عدول	بالعدول
قتل	قتلوها
سيد	وسيد
رضيع	الرضيعِ
ألف	الفين
حكة	الحكة
أحب	يحبهم
حق	حقوقه
تعثر	تعثري
التحق	ألتحق
نسي	ستنسى
كتب	أكتبها
سكني	السكني
متردد	مترددة
فرض	يفرض
وديعة	ودائع
مدير	مديراً
أيس	الأيس
اندفع	تندفع
رصاصة	رصاصتين
ماضي	ماضيها
راحه	بالراحه
أكل	لتأكله
استطاع	يَستطيعونَ
نسبة	بالنّسبة
طلي	ــة
ابتداء	بطلاء
راقص	ابتداء
رسم	الراقصات
جرايسي	بالرسم
شأن	جرايسي
جلي	وشأنك
إكتشاف	جليّ
تغوط	الإكتشاف
ماء	تغوط
نعلق	وماء
تنقل	نعلق
تقاعد	يتنقل
تحسن	تقاعدي
اعتبار	تتحسّن
طير	باعتباره
احتياط	للطيور
ملك	الاحتياط
سحاقي	أملاك
أعجب	السحاقيات
ملكى	تعجبه
حاضنة	الملكى
متكلم	حاضنة
تكفى	المتكلم
نوع	تكفى
فيضان	الانواع
ذكر	فيضان
معتوه	ذكروا
نيوز	معتوهة
فكر	نيوز
تهدئة	يُفكّرُ
مرر	لتهدئة
فقد	مررها
أوتعلمين	وفقد
إسطنبول	أوَتعلمين
اعاد	اسطنبول
سحق	اعادته
ادخلى	سُحقًا
ضحكة	ادخلى
جدي	الضحكة
استمع	جديه
أخبر	سيستمع
تتصلى	وأخبرتها
أربع	تتصلى
ب	الاربع
مراجعة	بهاي
أبن	لمراجعة
استقل	أبنته
أليف	استقل
أحب	أليفة
جانبى	ويحب
مسامحة	جانبى
ديز	مسامحتي
مراسل	ديز
تمشى	المراسلين
جد	تتمشى
نقش	جدّك
تسألينني	نقش
قلبي	تسألينني
كثافة	قلبيّة
سافاج	الكثافة
عذر	سافاج
إعلامي	كعذر
بحري	الإعلامية
فخامة	بحريه
قضى	فخامة
مسعف	قضيتِ
مكان	المسعفون
ذراع	لمكانه
بريندن	ذراعيها
حلزون	بريندن
ظل	الحلزون
لاحظ	ستظلين
فوضي	نلاحظ
قائد	فوضي
أربي	قائدكم
مشع	أربي
صولجان	مشعة
فهد	الصولجان
ذنب	فهد
تراث	ذنبه
أن	تراث
ماسح	بأنة
مصري	الماسح
تغارين	المصريين
هيستنجز	تغارين
مسرور	هيستنجز
حماية	مسرورٌ
لكن	بحمايتي
سماء	ولكنّهم
ناتو	السماءِ
ود	الناتو
اتأخر	ود
إلا	اتأخر
أن	إلان
ابقي	ولأنني
هجمة	وابقي
أقفل	هجمة
تبان	يقفل
مصلحة	التبانة
راوي	مصلحتي
يخبرونا	راو
إقامة	يخبرونا
مريض	إقامتك
ست	للمريض
أنتوني	ستاتي
أخذ	انتوني
سنة	ستأخذها
ساقط	بسنة
تيل	الساقط
شقة	تيل
مولى	بالشقة
بينتون	مولانا
قناع	بينتون
توكيل	قناعاً
هورمون	توكيل
فابيان	هرمونات
كتاب	فابيان
ايمان	الكتابه
قصب	كايمان
منافس	القصبة
جرى	منافسه
ساد	ويجري
دعا	تسد
لزام	تدعوهم
ابدء	لزاماً
اقضى	ابدء
تأكد	اقضى
صوت	بالتأكد
غناء	يصوت
إعتقد	للغناء
آنابيل	إعتقدتَ
فار	آنابيل
صندوق	فار
ستيورات	صندوقي
ذكر	ستيورات
ممشى	أذكركم
أخبر	الممشى
أخبر	سأخبركَ
شيكولاته	وأخبرت
رأى	الشيكولاته
مناقشة	لتراه
أبوح	للمناقشة
سفرة	أبوح
بحث	سفرة
ترمى	وتبحث
يري	ترمى
هم	ليري
صريح	يهمهم
جوار	صريحًا
أتعقب	بجوارها
مسطح	أتعقب
دبلوماسي	مسطح
بغيض	دبلوماسي
مختبري	البغيضة
سؤال	مختبري
إنقاذ	سؤالها
دراج	لإنقاذنا
تمثيلي	دراجون
صدر	تمثيلية
ستبد	الصدور
أحصلي	ستبدين
معركة	أحصلي
فك	معركتك
شيئأ	فكي
كعك	شيئأَ
دفع	كعكتي
رقم	ليدفع
كان	رقما
ثقل	فكانت
يحري	الثقل
تسجيل	يحري
استخدام	تسجيلها
هجرة	الاستخدام
طن	هجرته
أي	طنين
إنعكاس	أياك
أدام	إنعكاس
يد	أداما
إصلاح	يدا
حكومة	الإصلاحات
رأى	بالحكومة
مصور	نرَ
انقضى	المصورين
مراقبة	انقضى
بلاط	مراقبتها
آرل	بلاط
بحري	آرلين
صراخ	للبحرية
عاد	صُراخ
مأخوذ	عادَ
سىء	مأخوذ
ابد	السىء
خط	ابدوا
نقدي	الخطا
الكساندر	النقدي
تنتهى	الكساندر
تبع	ستنتهى
أسفل	يتبعها
داخل	وأسفل
تكرهينني	بداخلكِ
دهر	تكرهينني
اطار	الدهر
ديكنز	الاطارات
عقلاني	ديكنز
جني	بعقلانية
مار	لجني
تدفئة	مارايك
آل	تدفئة
هاجم	آلـ
إنتربول	هاجمه
رغب	الانتربول
كلب	رغبتِ
أي	ككلب
أنذار	لأية
ألدى	الأنذار
آب	ألدى
اجتماعي	آبا
آمن	اجتماعياً
مجنون	آمنون
احتاج	مجنونًا
اركل	تحتاجونه
ملل	اركل
جعة	ملل
وشك	الجعّة
مابك	وشكِ
امسك	مابك
ترويج	امسكنا
إعراض	الترويج
شغل	الاعراض
طلب	شغلها
حتي	يطلبوا
إنقلاب	وحتي
تدبير	الإنقلاب
منح	التدابير
تأجير	منحهم
رؤية	بتأجير
أكاديمية	رؤيـة
مهمة	أكاديميّة
سنايدر	مهمتكم
جربني	سنايدر
تذمر	جربني
نجم	تذمر
ساعد	للنجوم
هلك	يساعدهم
أيعرف	هلك
اعجاب	أيعرف
ضيعة	اعجابكم
رأى	فضيعة
لكنة	نراكِ
معرفه	اللكنة
طهران	المعرفه
ظفر	طهران
صديق	أظافرك
إعتقاد	صديقًا
مئة	إعتقاد
عثر	بمئة
مجهول	ستعثر
جوارب	مجهولاً
سحايا	جواربي
أي	السحايا
محترق	أيٌ
كسر	المحترقة
أستاذ	للكسر
قابيل	أستاذي
أخذ	قابيل
ابتسم	وأخذوا
ورط	ابتسموا
متفاجأة	ورطه
تلفزيون	متفاجأة
تصريف	التلفزيونِ
وطئ	تصريف
عسر	تطأ
أسمك	عسر
تبدء	أسمكِ
أكذوبة	تبدء
واحد	الاكاذيب
غارث	واحِد
مؤشر	غارث
بنى	المؤشر
نبيذ	بناه
مستشفى	والنبيذ
حقيقة	بمستشفى
ركود	الحقيقةِ
مساحة	الركود
عربي	مساحات
إبدأ	عربي
اتبع	إبدأوا
شيفر	نتبعه
غلوبال	شيفر
ثلاثون	غلوبال
حفلتنا	الثلاثون
إنتشار	حفلتنا
مؤدي	الإنتشار
دولة	المؤدي
تعلق	دولتنا
مهتم	تتعلّق
قوة	مُهتم
تصلب	بالقوات
تعقب	تصلب
معافى	بتعقب
عاد	معافى
عائق	عُدتُ
داري	العوائق
فايكنج	لدار
مقبل	الفايكنج
جاء	المُقبل
استطلاع	أجيء
رتي	استطلاع
تعب	كرتي
إرهاق	يتعب
كتيب	الإرهاق
مفاجأة	الكتيب
أسرع	مفاجآت
رغب	أسرعا
سقيف	وأرغب
قاتل	سقيفة
عسكرى	بالقاتل
استيقظ	العسكرى
ندم	يستيقظون
عقاري	تندمين
أبنتى	عقاري
محامي	أبنتى
رعد	بمحامي
فكر	رعد
عداء	أفكارنا
ايزابيلا	عدائي
أرسل	ايزابيلا
أخرج	سأرسله
وات	أخرجتها
ماقالته	وات
تسبب	ماقالته
جبرئيل	وتسبب
إستمر	جبريل
قال	إستمرت
أفقد	قلتُه
قدوم	أفقده
دفاع	بقدوم
هوم	دفاعا
زنزانة	هوم
بل	الزنزانات
بريستول	بلّ
لطيفة	بريستول
احرصي	ولطيفة
عليم	احرصي
تريدينى	عليم
دخيل	تريدينى
دفاع	الدخلاء
ايضآ	دفاعك
جائني	ايضآ
ضار	جائني
تشاجر	ضارة
ياكوزا	يتشاجر
بنت	الياكوزا
قرر	والبنات
اعلي	سيقرر
معلم	اعلي
ملف	المعالم
ظن	ملفاتك
مدغشقر	ظننتي
تسوي	مدغشقر
تحليل	تسوي
اتخاذ	لتحليل
إسبوعان	باتخاذ
إنزلاق	إسبوعان
ممتلكاتك	الإنزلاق
طلوع	ممتلكاتك
اندى	طلوع
قاذف	اندى
إتفاقي	قاذف
محزن	الإتفاقية
ألم	مُحزن
تسويق	ألَمْ
انف	تسويق
نظر	الانف
خال	أَنْظرُ
مهما	خلتك
حضن	مهمّاً
كأس	أحضان
أتريديني	كأسك
ضحى	أتريديني
جنس	أضحي
مال	جنسك
لايعلم	المالَ
مقاومة	لايعلم
فكر	للمقاومة
برينتس	تُفكّر
أول	برينتس
أن	الأولـى
تركي	أنكٍ
كد	التركي
سامسون	بكد
إكتشاف	سامسون
بنطلون	إكتشافه
نزاع	بنطلون
مشاهدة	النزاعات
سيارة	مُشاهدة
سن	السيارةَ
كفى	يسن
أعتبار	كفانا
صداقة	الأعتبار
عامل	صداقتي
فاشل	عاملاً
وضع	فاشلون
تعود	وضعناها
إيذاء	التعود
لتو	لإيذاء
شم	لتوّه
آخ	يشم
محادثة	آخ
احتمل	محادثتي
خطر	يُحتمل
أليخاندرو	خطرًا
طبيعي	أليخاندرو
جمال	طبيعيين
قرر	للجمال
آخير	فقررت
ارتأي	الآخيرة
عضو	ارتأيت
نشيد	كعضو
أعطى	النشيد
سيك	يَعطي
سباتي	سيك
ترك	السباتي
خرق	ويترك
تسوية	الخرق
عزر	بتسوية
كوري	عزرا
دعا	الكوريين
تعارف	سأدعوك
إعتذار	التعارف
أحادي	إعتذاري
مقيم	أحادي
مثير	مقيمة
بداية	مثيرون
سموكي	ببداية
آن	سموكي
مسار	فالآن
صادق	مسارنا
دارى	دارت
علم	علما
أمر	بامر
ظن	وتظن
غريب	غريبين
أدى	يؤدون
ثمانون	ثمانين
إنزل	إنزلْ
رأ	رأها
مظهر	مظاهر
قص	بقص
ابقي	ابقيه
صاحب	صاحبها
متوقع	متوقّع
عالج	سأعالج
دامي	الدامي
ود	وددتُ
موظف	موظفيك
عجين	العجين
دولار	بدولار
عيان	للعيان
نفاق	النفاق
أدرك	أدركوا
بقي	وستبقى
فعل	فعلـه
أزمة	ازمة
اضرب	اضربك
أذى	بالأذى
قد	قدنا
معروف	المعروفين
عزف	عزفت
ماكر	الماكر
زي	زياً
مغامر	المغامر
تخلى	ستتخلى
حياة	حياتهما
أعتماد	الأعتماد
ريح	ريحاً
يقين	يقيناً
اشترك	اشتركت
خيانة	خيانتي
مثل	مثلكما
فرق	تفرق
سبب	ستسبب
ذكرى	ذكرياتنا
فعل	بالفعـل
لوث	بلوث
جاء	أَجيءُ
متوقع	المتوقعة
ابقى	وابقى
لاتيني	اللاتيني
جعل	تجعلكِ
ناقد	النقاد
علاقة	علاقاتك
خاتمة	الخاتمة
آكل	آكلة
تعليم	للتعليم
كان	فيكون
شكر	اشكركم
عين	عيوننا
حاول	نُحاولُ
ذو	وذو
تعليمي	تعليمية
أعراض	اعراض
تخيل	تخيلته
جندي	جنودك
رجل	الرجالَ
داليك	الداليك
ميته	الميته
امض	امضِ
تشاكرا	التشاكرا
جلاد	الجلاد
أنهى	ستنهي
تسنى	سيتسنى
مسؤولية	المسؤوليات
كعك	كعكه
قرمزي	القرمزي
عاري	عاريه
أمن	أمنوا
اخبرني	واخبرني
قلد	يقلد
مساهمة	المساهمة
كل	كُلها
حزن	حزنك
أعطو	أعطوها
أعطى	لتعطيني
لمح	لمحت
وشى	بوتشي
حياكة	الحياكة
فتى	والفتى
سر	أسرارنا
اوصل	اوصلك
دافع	تدافعين
حاز	تحوز
أصبح	أصبحتْ
غازل	تغازل
إرم	آرام
اعتقد	يَعتقدونَ
شهادة	بشهادة
إعصار	الأعاصير
بدأ	يبدأوا
مشروب	مشروبي
تخلص	تتخلصي
مستقبل	المُستقبل
تأهب	تأهبوا
استدار	يستدير
عماد	العمده
سيانيد	السيانيد
نهار	ونهاراً
تغيير	بالتغيير
عاصمة	للعاصمة
توجه	توجّه
اجاز	اجازه
ايد	ايدا
باحث	باحثة
